Mesh #,Combination #,KSP Type,PC Mass,PC Interface,Converged,Krylov Iters,Construction Time (s),Solve Time (s),Total Time (s),Tic Toc Time (s),Solver Label,Adjusted Time (s)
0,0,gmres,ilu,ilu,True,33.0,0.002313375473022461,0.0021927356719970703,0.004506111145019531,0.15163469314575195,gmres + ilu + ilu,0.004506111145019531
0,1,gmres,lu,ilu,True,8.0,0.004776477813720703,0.0007300376892089844,0.0055065155029296875,0.1659531593322754,gmres + lu + ilu,0.0055065155029296875
0,2,gmres,sor,ilu,True,81.0,0.0021562576293945312,0.00525665283203125,0.007412910461425781,0.13707542419433594,gmres + sor + ilu,0.007412910461425781
0,3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu,1.784660816192627
0,4,gmres,bjacobi,ilu,True,33.0,0.0064771175384521484,0.008920907974243164,0.015398025512695312,0.17139673233032227,gmres + bjacobi + ilu,0.015398025512695312
0,5,gmres,asm,ilu,True,33.0,0.002400636672973633,0.002361297607421875,0.004761934280395508,0.1639106273651123,gmres + asm + ilu,0.004761934280395508
0,6,gmres,gamg,ilu,True,22.0,0.004887104034423828,0.002699136734008789,0.007586240768432617,0.12408828735351562,gmres + gamg + ilu,0.007586240768432617
0,7,bcgs,ilu,ilu,True,22.0,0.0024955272674560547,0.0013644695281982422,0.003859996795654297,0.14844560623168945,bcgs + ilu + ilu,0.003859996795654297
0,8,bcgs,lu,ilu,True,6.0,0.00450897216796875,0.0008978843688964844,0.005406856536865234,0.16237998008728027,bcgs + lu + ilu,0.005406856536865234
0,9,bcgs,sor,ilu,True,40.0,0.002129793167114258,0.0023987293243408203,0.004528522491455078,0.16514086723327637,bcgs + sor + ilu,0.004528522491455078
0,10,bcgs,jacobi,ilu,True,98.0,0.0023889541625976562,0.003580808639526367,0.0059697628021240234,0.15073013305664062,bcgs + jacobi + ilu,0.0059697628021240234
0,11,bcgs,bjacobi,ilu,True,22.0,0.0021843910217285156,0.0015192031860351562,0.003703594207763672,0.12540864944458008,bcgs + bjacobi + ilu,0.003703594207763672
0,12,bcgs,asm,ilu,True,22.0,0.0023627281188964844,0.0015573501586914062,0.003920078277587891,0.14147043228149414,bcgs + asm + ilu,0.003920078277587891
0,13,bcgs,gamg,ilu,True,15.0,0.005254030227661133,0.003133058547973633,0.008387088775634766,0.17048096656799316,bcgs + gamg + ilu,0.008387088775634766
0,14,tfqmr,ilu,ilu,True,44.0,0.0026552677154541016,0.001369476318359375,0.0040247440338134766,0.13228106498718262,tfqmr + ilu + ilu,0.0040247440338134766
0,15,tfqmr,lu,ilu,True,11.0,0.008453845977783203,0.0033254623413085938,0.011779308319091797,0.19098210334777832,tfqmr + lu + ilu,0.011779308319091797
0,16,tfqmr,sor,ilu,True,91.0,0.003476381301879883,0.0034685134887695312,0.006944894790649414,0.1743478775024414,tfqmr + sor + ilu,0.006944894790649414
0,17,tfqmr,jacobi,ilu,True,226.0,0.002117156982421875,0.00426173210144043,0.006378889083862305,0.12980914115905762,tfqmr + jacobi + ilu,0.006378889083862305
0,18,tfqmr,bjacobi,ilu,True,44.0,0.0023458003997802734,0.0034372806549072266,0.0057830810546875,0.12827730178833008,tfqmr + bjacobi + ilu,0.0057830810546875
0,19,tfqmr,asm,ilu,True,44.0,0.002628326416015625,0.0016963481903076172,0.004324674606323242,0.13002800941467285,tfqmr + asm + ilu,0.004324674606323242
0,20,tfqmr,gamg,ilu,True,29.0,0.005143880844116211,0.002698183059692383,0.007842063903808594,0.13223767280578613,tfqmr + gamg + ilu,0.007842063903808594
1,0,gmres,ilu,ilu,True,62.0,0.0029535293579101562,0.006883859634399414,0.00983738899230957,0.17859697341918945,gmres + ilu + ilu,0.00983738899230957
1,1,gmres,lu,ilu,True,5.0,0.007587432861328125,0.000850677490234375,0.0084381103515625,0.15271711349487305,gmres + lu + ilu,0.0084381103515625
1,2,gmres,sor,ilu,False,,,,,,gmres + sor + ilu,1.784660816192627
1,3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu,1.784660816192627
1,4,gmres,bjacobi,ilu,True,62.0,0.0031633377075195312,0.0071375370025634766,0.010300874710083008,0.1464378833770752,gmres + bjacobi + ilu,0.010300874710083008
1,5,gmres,asm,ilu,True,62.0,0.0030126571655273438,0.007151126861572266,0.01016378402709961,0.1811509132385254,gmres + asm + ilu,0.01016378402709961
1,6,gmres,gamg,ilu,True,46.0,0.007954120635986328,0.009819507598876953,0.01777362823486328,0.17383933067321777,gmres + gamg + ilu,0.01777362823486328
1,7,bcgs,ilu,ilu,True,34.0,0.0029184818267822266,0.0034706592559814453,0.006389141082763672,0.13711142539978027,bcgs + ilu + ilu,0.006389141082763672
1,8,bcgs,lu,ilu,True,3.0,0.007049560546875,0.0007307529449462891,0.007780313491821289,0.1425323486328125,bcgs + lu + ilu,0.007780313491821289
1,9,bcgs,sor,ilu,True,82.0,0.0026636123657226562,0.00819253921508789,0.010856151580810547,0.15064406394958496,bcgs + sor + ilu,0.010856151580810547
1,10,bcgs,jacobi,ilu,False,,,,,,bcgs + jacobi + ilu,1.784660816192627
1,11,bcgs,bjacobi,ilu,True,34.0,0.007092475891113281,0.0035839080810546875,0.010676383972167969,0.14723896980285645,bcgs + bjacobi + ilu,0.010676383972167969
1,12,bcgs,asm,ilu,True,34.0,0.002961874008178711,0.003726482391357422,0.006688356399536133,0.12935566902160645,bcgs + asm + ilu,0.006688356399536133
1,13,bcgs,gamg,ilu,True,30.0,0.007852315902709961,0.009407997131347656,0.017260313034057617,0.15242242813110352,bcgs + gamg + ilu,0.017260313034057617
1,14,tfqmr,ilu,ilu,True,69.0,0.002935171127319336,0.003450632095336914,0.00638580322265625,0.1237647533416748,tfqmr + ilu + ilu,0.00638580322265625
1,15,tfqmr,lu,ilu,True,5.0,0.009914398193359375,0.0009832382202148438,0.010897636413574219,0.1589517593383789,tfqmr + lu + ilu,0.010897636413574219
1,16,tfqmr,sor,ilu,True,162.0,0.002592325210571289,0.008528947830200195,0.011121273040771484,0.13469338417053223,tfqmr + sor + ilu,0.011121273040771484
1,17,tfqmr,jacobi,ilu,False,,,,,,tfqmr + jacobi + ilu,1.784660816192627
1,18,tfqmr,bjacobi,ilu,True,69.0,0.0026886463165283203,0.003671407699584961,0.006360054016113281,0.13145041465759277,tfqmr + bjacobi + ilu,0.006360054016113281
1,19,tfqmr,asm,ilu,True,69.0,0.003074169158935547,0.004013538360595703,0.00708770751953125,0.15436577796936035,tfqmr + asm + ilu,0.00708770751953125
